crop_id,crop_name,category,disease_ai_status,disease_knowledge_status,pest_ai_status,pest_knowledge_status,nutrient_ai_status,nutrient_knowledge_status,overall_readiness,notes
paddy,paddy,cereal,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
maize,maize,cereal,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
ragi,ragi,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
sorghum,sorghum,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
pearl_millet,pearl_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
foxtail_millet,foxtail_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
little_millet,little_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
kodo_millet,kodo_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
barnyard_millet,barnyard_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
proso_millet,proso_millet,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
wheat,wheat,cereal,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
red_gram,red_gram,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
black_gram,black_gram,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
green_gram,green_gram,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
bengal_gram,bengal_gram,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cowpea,cowpea,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
field_bean,field_bean,pulse,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
groundnut,groundnut,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
sesame,sesame,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
sunflower,sunflower,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
castor,castor,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
safflower,safflower,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
soybean,soybean,oilseed,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cotton,cotton,commercial,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
