crop,duplicate_file,original_file,sha256,action
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(100).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4a063384-a4c0-4acc-a787-8236eb40a54e___RS_Erly.B 8281.JPG,e7599eb3a3afef4ca3f4976f3045824c1340f0182629bbff72368524a8cfc2d0,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(101).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4a352896-5a0f-4e42-aba1-f06045d5b531___RS_Erly.B 7765.JPG,4981df489f77b557ac5665a44948b345c873e3f0447266d660862fc980c6d3f5,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(102).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4aa63e45-c531-40e2-86ca-a788e74d4f18___RS_Erly.B 7549.JPG,40a05537d6752086270eb98897131eae67e6cd1302bdebe30d63f3106ec593b2,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(103).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4b8821ef-8364-4a04-9549-58d58ffe0411___RS_Erly.B 7704.JPG,60b827113f11237fa25a30cc7f08dcd98591f0f664bcfcb742873bffce95b557,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(104).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4c5f5a51-0ea2-477b-a0bf-e0d511f53e87___RS_Erly.B 6397.JPG,e117c619a338a284c1dc846fa142f3b9392d8d9d2f5e3cafc8932731088d0091,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(109).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4ce52d04-06f4-4b35-af47-804fdabed996___RS_Erly.B 8254.JPG,acf4d24347b160ba56055a9aa7e98dc51c92e168fc74d81dca943ba9343a88d1,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(114).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4d88d7a6-b49c-4927-81de-60b6b807c839___RS_Erly.B 7655.JPG,962e3a6b6a7fef0e91be725817f848430fad91537902f2c59e65d2b4b9b3f4a4,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(115).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4deeae7f-b339-4d5b-969c-b69ea27c1636___RS_Erly.B 7736.JPG,b427ab023a5ff60b4fdd8152b2861d56ec3c082b9c7ffae0d0109059c24f54bb,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(119).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4e8e92ba-46f4-4e49-850b-71019f6c8640___RS_Erly.B 6346.JPG,3db5f860cf3cf06257540865b48c6bad8cf5099f29facb4d91a87ce4761a15f0,DEDUPLICATED
Tomato,F:/SIH_DATASET/processed/tomato\train\Early_blight\EB_(120).JPG,F:/SIH_DATASET/processed/tomato\train\Early_blight\4e24576f-00c2-494f-b47b-b2b3885b4749___RS_Erly.B 8279.JPG,34996a85c11fba755e8d068313e9d2ce3d573e4c0e01ebf8235e167ce8585ad5,DEDUPLICATED
