dataset_name,category,kaggle_url,dataset_owner,source_original_source,license,records_or_images_count,crop,classes_count,disease_classes,pest_classes,healthy_classes,nutrient_deficiency_classes,geographical_relevance,image_quality,metadata_availability,train_val_test_structure,duplicate_or_mirror_status,suitable_for_training,suitable_only_for_reference,verification_status
New Plant Diseases Dataset,A - Crop Disease,https://www.kaggle.com/datasets/vipoooool/new-plant-diseases-dataset,Vipul Gaurav,PlantVillage Project (Penn State University),CC0: Public Domain,"87,000 images","Tomato, Potato, Corn, Apple, Grape, Pepper, Strawberry, Peach, Cherry",38,"Tomato: Bacterial spot, Early blight, Late blight, Leaf Mold, Septoria, Spider mites, Target Spot, TYLCV, Mosaic virus; Corn: Common rust, Gray leaf spot, Northern leaf blight; Pepper: Bacterial spot",Spider mites (Tetranychidae),"Tomato healthy, Corn healthy, Pepper healthy, Potato healthy, Apple healthy, Grape healthy",None documented in dataset,Global lab benchmark; applies to solanaceous/maize diseases occurring in South India,"256x256 RGB, controlled lab background (uniform grey/black paper)",Directory structure class labels; no EXIF/GPS,"Train (70,295), Valid (17,572), Test (33 images)",Re-split mirror of original PlantVillage dataset,Yes (laboratory baseline classification),No,VERIFIED
CCMT: Dataset for Crop Pest and Disease Detection,A - Crop Disease & B - Pest,https://www.kaggle.com/datasets/arjunjoshua/ccmt-dataset-for-crop-pest-and-disease-detection,Arjun Joshua / Makerere AI Lab,Makerere Artificial Intelligence Research Lab & Expert Plant Virologists,CC-BY 4.0,"100,000+ images (raw + augmented)","Cashew, Cassava, Maize, Tomato",22,"Cashew: Anthracnose, Gumosis, Leaf miner damage, Red rust; Tomato: Blight, Leaf curl; Cassava: Mosaic disease, Brown streak, Bacterial blight","Cashew stem borer, Leaf miner, Whitefly vector, Armyworm","Cashew healthy, Tomato healthy, Maize healthy, Cassava healthy",None,"Tropical agricultural regions; highly relevant to South Indian Cashew, Tomato and Maize",High resolution smartphone in-field photography with natural lighting/backgrounds,Bounding boxes and verified class labels by plant pathologists,Standard train/val/test partitions provided,Original open-access publication benchmark,Yes (exceptional in-field quality for Cashew and Tomato),No,VERIFIED
PlantDoc: Visual Plant Disease Detection in the Wild,A - Crop Disease,https://www.kaggle.com/datasets/daeyoung96/plantdoc-dataset,Singh et al. (IIT Delhi / CoDS-COMAD),Indian Institute of Technology (IIT) Delhi,MIT License,"2,598 images","Tomato, Potato, Corn, Grape, Apple, Bell Pepper, Blueberry, Cherry, Peach, Raspberry, Soybean, Squash, Strawberry",27,"Tomato: Early blight, Late blight, Leaf spot, Septoria leaf spot, Yellow leaf curl, Mosaic virus; Corn: Leaf blight, Rust; Potato: Early blight, Late blight",None separated (focus on foliar lesions),"Tomato leaf, Corn leaf, Bell pepper leaf, Potato leaf",None,India-centric in-field images from diverse agro-climatic zones,"Variable in-the-wild field conditions, multiple leaves per image, complex backgrounds",PASCAL VOC bounding box XML annotations,"Train (2,338 images), Test (236 images)",Original IIT Delhi research release,Yes (object detection and wild-field classification),No,VERIFIED
Rice Leaf Disease Images (UCI / Kaggle),A - Crop Disease,https://www.kaggle.com/datasets/vbookshelf/rice-leaf-diseases,UCI Machine Learning / Kaggle Community,Bangladesh Rice Research Institute / ICAR field records,CC-BY-SA 4.0,"120 images (base) / expanded to 3,355 images",Paddy / Rice,4,"Bacterial leaf blight (Xanthomonas oryzae), Brown spot (Bipolaris oryzae), Leaf smut (Entyloma oryzae)",None,Healthy leaf,None,"South Asian rice ecologies (Tamil Nadu, Andhra, Karnataka, Kerala)",White background macro photography of diseased leaf blades,Directory labels,Directory per class,Canonical UCI machine learning agricultural benchmark,Yes (for baseline paddy foliar lesions),No,VERIFIED
Cotton Disease and Pest Dataset,A - Crop Disease & B - Pest,https://www.kaggle.com/datasets/janmejaybhatt/cotton-disease-dataset,Janmejay Bhatt,Indian Agricultural Research field stations (Gujarat / Karnataka),CC0: Public Domain,"1,709 images",Cotton,4,"Bacterial blight (Xanthomonas citri pv. malvacearum), Curl virus (CLCuD), Fusarium wilt (Fusarium oxysporum)",Whitefly damage (associated with leaf curl virus transmission),Healthy leaf and plant,None,"Direct match for South Indian cotton belts (Dharwad, Raichur, Guntur, Coimbatore)",High resolution natural field lighting and foliar close-ups,Folder-level split structure,"Train (1,366), Valid (168), Test (175)",Cleaned version available in KRISHI MARGA physical storage (F:\SIH_DATASET\processed\cotton),Yes (100% verified and trained in KRISHI MARGA),No,VERIFIED
Sugarcane Leaf Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/akash2907/sugarcane-leaf-disease-dataset,Akash Patel,ICAR-Sugarcane Breeding Institute (SBI Coimbatore) reference imagery,CC-BY 4.0,"2,569 images",Sugarcane,5,"Red rot (Colletotrichum falcatum), Bacterial blight, Red stripe, Rust (Puccinia melanocephala)",None,Healthy sugarcane leaf,None,"Coimbatore, Mandya, Belagavi, Visakhapatnam sugarcane zones",In-field natural cane foliage photography,Directory labels,"Train (1,800), Valid (385), Test (384)",Public Kaggle release,Yes,No,VERIFIED
Coconut Palm Disease and Health Dataset,A - Crop Disease,https://www.kaggle.com/datasets/emmarex/coconut-disease-dataset,Emmarex,ICAR-CPCRI Kasaragod / Coconut Development Board field documentation,CC-BY 4.0,"5,735 images",Coconut,5,"Bud Root Dropping, Bud Rot (Phytophthora palmivora), Gray Leaf Spot (Pestalotiopsis palmarum), Leaf Rot (Colletotrichum gloeosporioides), Stem Bleeding (Thielaviopsis paradoxa)",None separated,Healthy coconut palm frond,None,"100% relevant to Kerala, Tamil Nadu, Karnataka coastal and hinterland coconut tracts",Real canopy and trunk field photography,Full split_metadata.csv provided,"Train (3,933), Valid (939), Test (863)",Cleaned in KRISHI MARGA physical storage (F:\coconut_final),Yes,No,VERIFIED
Coffee Leaf Diseases Dataset,A - Crop Disease,https://www.kaggle.com/datasets/gti-upm/coffee-leaf-diseases,Grupo de Tratamiento de Imágenes (GTI-UPM),Coffee Research Stations (Robusta and Arabica field trials),CC-BY-NC 4.0 (Non-Commercial Research),"4,074 images",Coffee,5,"Coffee Leaf Rust (Hemileia vastatrix), Cercospora leaf spot (Cercospora coffeicola), Phoma leaf spot, Mineral deficiency symptoms",Coffee Leaf Miner (Leucoptera coffeella) gallery lesions,Healthy coffee leaf,Iron/Nitrogen induced chlorosis (pooled),"Kodagu, Hassan, Chikmagalur (Karnataka) and Wayanad (Kerala) coffee plantations",High resolution mobile phone imagery under field shade,CSV metadata + bounding labels,Presplit train/test subsets,Academic benchmark release,Yes (for research/academic non-commercial use),Yes (due to CC-BY-NC license constraint),VERIFIED
Tea Leaf Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/shashwatwork/tea-leaf-disease-dataset,Shashwat Tiwari,UPASI Tea Research Institute / Assam & Nilgiris tea estates,CC0: Public Domain,885 images,Tea,8,"Anthracnose, Algal leaf spot (Cephaleuros virescens), Bird's eye spot (Cercospora theae), Brown blight (Colletotrichum camelliae), Gray blight (Pestalotiopsis theae), Red leaf spot, White spot",None,Healthy tea leaf,None,"Nilgiris, Valparai, Munnar, Wayanad tea plantations",Macro photographs of individual tea pluckings/leaves,Directory labels,"Train (706), Valid (87), Test (92)",Cleaned in KRISHI MARGA physical storage (F:\SIH_DATASET\processed\tea),Yes,No,VERIFIED
Chilli Plant Diseases and Pests Dataset,A - Crop Disease & B - Pest,https://www.kaggle.com/datasets/tolgadincer/chilli-plant-diseases-dataset,Tolga Dincer,Chilli growing zones in South Asia & Mediterranean,CC-BY 4.0,"6,755 images",Chilli,6,"Chilli leaf spot (Cercospora capsici), Chilli leaf curl virus (Begomovirus), Yellowish chlorosis","Whitefly (Bemisia tabaci) colonization, Thrips damage",Healthy chilli plant,None separated,"Andhra Pradesh (Guntur), Telangana (Warangal), Karnataka (Byadagi) chilli belts","In-situ field crops, natural leaf clustering",Directory structure with train/test,"Train (5,404), Test (1,351)",Mirrored in F:\chilli plantdataset.zip on physical disk,Yes,No,VERIFIED
