source_path,dataset_name,crop,class,image_count,source_type,license_if_known,selected_for_training
F:\coconut_final\train\Bud_Root_Dropping,coconut_final,Coconut,Bud_Root_Dropping (train),362,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\train\Bud_Rot,coconut_final,Coconut,Bud_Rot (train),278,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\train\Gray_Leaf_Spot,coconut_final,Coconut,Gray_Leaf_Spot (train),1473,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\train\Leaf_Rot,coconut_final,Coconut,Leaf_Rot (train),1149,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\train\Stem_Bleeding,coconut_final,Coconut,Stem_Bleeding (train),671,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\valid\Bud_Root_Dropping,coconut_final,Coconut,Bud_Root_Dropping (valid),75,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\valid\Bud_Rot,coconut_final,Coconut,Bud_Rot (valid),120,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\valid\Gray_Leaf_Spot,coconut_final,Coconut,Gray_Leaf_Spot (valid),315,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\valid\Leaf_Rot,coconut_final,Coconut,Leaf_Rot (valid),247,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\valid\Stem_Bleeding,coconut_final,Coconut,Stem_Bleeding (valid),182,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\test\Bud_Root_Dropping,coconut_final,Coconut,Bud_Root_Dropping (test),77,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\test\Bud_Rot,coconut_final,Coconut,Bud_Rot (test),72,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\test\Gray_Leaf_Spot,coconut_final,Coconut,Gray_Leaf_Spot (test),315,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\test\Leaf_Rot,coconut_final,Coconut,Leaf_Rot (test),246,Extracted Folder,Open Access / CC BY 4.0,YES
F:\coconut_final\test\Stem_Bleeding,coconut_final,Coconut,Stem_Bleeding (test),153,Extracted Folder,Open Access / CC BY 4.0,YES
F:\SIH_DATASET\processed\banana_leaf\train\cordana,SIH_DATASET/processed/banana_leaf,Banana Leaf,cordana (train),449,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
