name,professional_designation,specialization,organization,district,state,address,phone,email,website,source_url,verification_date,source_type,services,crop_specialization,facility_type,verification_status
"Department of Plant Pathology, UAS Bangalore",Professor & Head / Seed & Crop Health Specialists,"Crop Disease Diagnosis, Seed Health Testing, Fungal & Viral Pathology","University of Agricultural Sciences (UAS), Bangalore",Bengaluru Urban,Karnataka,"Department of Plant Pathology, College of Agriculture, GKVK Campus, Bellary Road, Bengaluru - 560065",080-23330153,shtpp@uasbangalore.edu.in,https://uasbangalore.edu.in,https://uasbangalore.edu.in,2026-09-11,Official State Agricultural University Portal,"Clinical leaf sample diagnosis, fungal culture identification, seed health testing, farmer advisory clinics","Tomato, Maize, Ragi, Paddy, Pulses",University Department of Plant Pathology,VERIFIED
"Division of Crop Protection, ICAR-IIHR",Principal Scientists (Plant Pathology & Entomology),"Horticultural Crop Pathology, Nematology & Integrated Pest Management",ICAR-Indian Institute of Horticultural Research (IIHR),Bengaluru Rural,Karnataka,"Hessaraghatta Lake Post, Bengaluru - 560089, Karnataka",080-23086100,director.iihr@icar.gov.in,https://iihr.res.in,https://iihr.res.in,2026-09-11,ICAR National Research Institute,"Advanced diagnostic clinic for fruit and vegetable diseases, virus indexing, biocontrol cultures (Arka Microbial Consortium)","Tomato, Chilli, Brinjal, Banana, Mango, Papaya",National ICAR Horticultural Research Division,VERIFIED
Dr. V. B. Sanath Kumar,"Professor & Head, Plant Pathology","Plant Pathology, Sugarcane & Paddy Disease Management","Zonal Agricultural Research Station (ZARS), V.C. Farm, UAS Bangalore",Mandya,Karnataka,"ZARS, V.C. Farm, Mandya - 571405, Karnataka",+91 9449113311,sanath.kumar7@gmail.com,https://uasbangalore.edu.in,https://uasbangalore.edu.in,2026-09-11,Official University Faculty Directory,"Sugarcane red rot diagnosis, rice blast and sheath blight clinical consultation, field scouting","Sugarcane, Paddy, Ragi",Zonal Agricultural Research Station (ZARS),VERIFIED
"Department of Plant Pathology, UAS Dharwad",Professor & University Plant Pathologists,"Cotton, Wheat, Chilli and Soybean Pathology","University of Agricultural Sciences (UAS), Dharwad",Dharwad,Karnataka,"College of Agriculture, UAS Dharwad Campus, Yettinagudda, Dharwad - 580005",0836-2214420,pathology@uasd.in,https://uasd.edu,https://uasd.edu,2026-09-11,Official State Agricultural University Portal,"Diagnostic clinic for cotton wilts and foliar diseases, rust identification in wheat, chilli anthracnose testing","Cotton, Wheat, Chilli, Soybean, Groundnut",University Department of Plant Pathology,VERIFIED
Central Plantation Crops Research Institute (CPCRI) Regional Station Vittal,Head & Principal Scientists (Crop Protection),Arecanut & Cocoa Pathology and Pest Management,ICAR-Central Plantation Crops Research Institute (CPCRI),Dakshina Kannada,Karnataka,"ICAR-CPCRI Regional Station, Vittal - 574243, Dakshina Kannada, Karnataka",08255-239238,cpcrivtl@gmail.com,https://cpcri.gov.in,https://cpcri.gov.in,2026-09-11,ICAR National Research Institute,"Koleroga/Mahali diagnosis, Yellow leaf disease testing, areca frond sample examination, biocontrol supply","Arecanut, Cocoa, Coconut",ICAR Regional Plantation Crops Research Station,VERIFIED
Central Coffee Research Institute (CCRI Balehonnur),"Head, Division of Plant Pathology","Coffee Leaf Rust, Black Rot, Stem Borer & Plantation Pathology","Coffee Board of India, Ministry of Commerce & Industry",Chikkamagaluru,Karnataka,"CCRI, Balehonnur, Chikmagalur District - 577117, Karnataka",08266-251041,ccri@coffeeboard.gov.in,https://coffeeboard.gov.in,https://coffeeboard.gov.in,2026-09-11,Statutory Commodity Board Research Institute,"Coffee rust race identification, coffee stem borer diagnostic clinic, shade tree health consultation","Coffee (Arabica & Robusta), Black Pepper (intercrop)",Central Commodity Research Institute,VERIFIED
"Department of Plant Pathology, TNAU Coimbatore",Professor & Head / University Crop Pathologists,"Plant Virology, Bacteriology, Mycology & Biological Control",Tamil Nadu Agricultural University (TNAU),Coimbatore,Tamil Nadu,"Centre for Plant Protection Studies (CPPS), TNAU, Coimbatore - 641003",+91 422 6611226,pathology@tnau.ac.in,https://tnau.ac.in,https://tnau.ac.in,2026-09-11,Official State Agricultural University Portal,"Clinical plant pathology lab, mobile pest and disease clinic, biocontrol agent mother cultures (Trichoderma, Pseudomonas)","Rice, Cotton, Sugarcane, Tomato, Chilli, Coconut",University Centre for Plant Protection Studies,VERIFIED
ICAR-Sugarcane Breeding Institute (Crop Protection Division),Principal Scientists (Plant Pathology & Entomology),"Sugarcane Red Rot, Smut, Wilt & Borer Complexes",ICAR-Sugarcane Breeding Institute (SBI),Coimbatore,Tamil Nadu,"ICAR-SBI, Veerakeralam, Coimbatore - 641007, Tamil Nadu",0422-2472621,director.sbi@icar.gov.in,https://sugarcane.icar.gov.in,https://sugarcane.icar.gov.in,2026-09-11,ICAR National Institute,"Sugarcane sett pathology testing, molecular detection of red rot, tissue culture health certification",Sugarcane,National ICAR Commodity Institute,VERIFIED
Tamil Nadu Rice Research Institute (TRRI Aduthurai),"Professor & Head, Plant Pathology","Rice Pathology, Blast, Bacterial Blight & Sheath Rot",Tamil Nadu Agricultural University (TNAU),Thanjavur,Tamil Nadu,"TRRI, Aduthurai, Thanjavur District - 612101, Tamil Nadu",0435-2472098,dirtrri@tnau.ac.in,https://tnau.ac.in,https://tnau.ac.in,2026-09-11,Agricultural University Zonal Research Station,"Cauvery Delta paddy disease diagnosis, flood-submergence bacterial disease screening, pest surveillance","Paddy / Rice, Blackgram (fallow crop)",Zonal Rice Research Institute,VERIFIED
UPASI Tea Research Institute (Plant Pathology Division),"Head, Plant Pathology & Crop Protection","Tea Blister Blight, Wood Rot, Tea Mosquito Bug Management",United Planters' Association of Southern India (UPASI),Coimbatore / Valparai Hills,Tamil Nadu,"Nirar Dam BPO, Valparai, Coimbatore District - 642127, Tamil Nadu",04253-235301,director@upasi.org,https://upasi.org,https://upasi.org,2026-09-11,Commodity Planters' Research Institute,"Blister blight forecasting, fungicide resistance testing, residue analysis, plantation health audit","Tea, Cardamom",Specialized Plantation Crop Research Institute,VERIFIED
