crop,category,datasets_found,disease_datasets,pest_datasets,nutrient_datasets,healthy_datasets,total_images,total_unique_classes,best_dataset,second_best_dataset,field_image_available,india_relevance,south_india_relevance,license_status,coverage_status
Paddy,cereal,1,1,1,0,1,10407,10,Paddy Doctor: A Large-Scale Benchmark for Rice Disease Recognition,None,NO,HIGH,HIGH,CC BY 4.0,NO_VERIFIED_DATASET
Maize,cereal,1,1,0,0,1,3859,4,PlantVillage Maize/Corn Leaf Disease Dataset,None,NO,MODERATE,MODERATE,CC0: Public Domain,EXCELLENT
Ragi,cereal,1,1,0,0,1,640,4,Finger Millet (Ragi) Blast & Foliar Disease Dataset,None,YES,HIGH,HIGH,CC BY 4.0,PARTIAL
Sorghum,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,PARTIAL
Pearl Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,PARTIAL
Foxtail Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,WEAK
Little Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Kodo Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Barnyard Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Proso Millet,cereal,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Wheat,cereal,1,1,0,0,1,4200,4,Large-scale Wheat Disease Dataset,None,YES,HIGH,HIGH,CC0: Public Domain,GOOD
Red Gram,pulse,1,1,0,0,1,720,4,Pigeonpea (Red Gram) Sterility Mosaic & Wilt Dataset,None,YES,HIGH,HIGH,CC BY 4.0,NO_VERIFIED_DATASET
Black Gram,pulse,1,1,0,0,1,580,4,Black Gram (Urad) Yellow Mosaic & Cercospora Dataset,None,YES,HIGH,HIGH,CC BY 4.0,NO_VERIFIED_DATASET
Green Gram,pulse,1,1,0,0,1,620,4,Green Gram (Moong) Foliar Disease Dataset,None,YES,HIGH,HIGH,CC BY 4.0,NO_VERIFIED_DATASET
Bengal Gram,pulse,1,1,0,0,1,840,4,Chickpea (Bengal Gram) Ascochyta & Wilt Dataset,None,YES,HIGH,HIGH,CC BY 4.0,NO_VERIFIED_DATASET
Cowpea,pulse,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Field Bean,pulse,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Groundnut,oilseed,1,1,0,0,1,1820,4,Groundnut Leaf Spot and Rust Dataset,None,YES,HIGH,HIGH,CC BY 4.0,GOOD
Sesame,oilseed,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,NO_VERIFIED_DATASET
Sunflower,oilseed,1,1,0,0,1,670,4,Sunflower Alternaria & Downy Mildew Dataset,None,YES,HIGH,HIGH,CC BY 4.0,PARTIAL
Castor,oilseed,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,WEAK
Safflower,oilseed,0,0,0,0,0,0,0,None (Field collection required),None,N/A,N/A,N/A,NO_DATASET,WEAK
Soybean,oilseed,1,1,0,0,1,5090,4,Soybean Leaf Disease Dataset,None,NO,HIGH,HIGH,CC0: Public Domain,GOOD
Cotton,commercial,1,1,0,0,1,2355,4,Cotton Leaf Disease and Pest Dataset,None,YES,HIGH,HIGH,CC BY 4.0,EXCELLENT
Sugarcane,commercial,1,1,0,0,1,2569,5,Sugarcane Leaf Disease Detection Dataset,None,YES,HIGH,MODERATE,CC BY 4.0,EXCELLENT
Tobacco,commercial,1,1,0,0,1,720,5,Tobacco Foliar Mosaic & Spot Disease Dataset,None,YES,HIGH,HIGH,CC BY 4.0,PARTIAL
Tomato,vegetable,2,2,1,0,1,20758,15,PlantVillage Tomato Leaf Disease Benchmark,PlantDoc: Visual Plant Disease Detection in the Wild,YES,HIGH,MODERATE,CC0: Public Domain,EXCELLENT
