original_path,processed_path,action,reason,dataset,crop,class
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-20-_JPG.rf.ec961aead5c6b9fac8432c12840a928e.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-20-_JPG.rf.ec961aead5c6b9fac8432c12840a928e.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-21-_JPG.rf.c49703dd00ba61f81dc74e7e7786dcd1.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-21-_JPG.rf.c49703dd00ba61f81dc74e7e7786dcd1.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-22-_JPG.rf.f1f578b3884294e23fd0c2dec14c7d6d.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-22-_JPG.rf.f1f578b3884294e23fd0c2dec14c7d6d.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-23-_JPG.rf.516ced4394a1f1742cd77fb20e8885aa.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-23-_JPG.rf.516ced4394a1f1742cd77fb20e8885aa.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-24-_JPG.rf.d6f783f7cb13fc3c27105577933bc024.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-24-_JPG.rf.d6f783f7cb13fc3c27105577933bc024.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-30-_JPG.rf.2b25904a11c1df1a0ad20408f10d872b.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-30-_JPG.rf.2b25904a11c1df1a0ad20408f10d872b.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-33-_JPG.rf.05f18c9c3a5938133b1594cd5079c758.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-33-_JPG.rf.05f18c9c3a5938133b1594cd5079c758.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-39-_JPG.rf.6553b1a168b4872b53295f8274d6311b.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-39-_JPG.rf.6553b1a168b4872b53295f8274d6311b.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-49-_JPG.rf.7452d8698340bea773fad0f72263b9a1.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-49-_JPG.rf.7452d8698340bea773fad0f72263b9a1.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_BLB-70-_JPG.rf.5cfabb80842935dd39330d8b613f6043.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Bacterial_Blight\DS_SUGAR_02_Bacterial_Blight_S_BLB-70-_JPG.rf.5cfabb80842935dd39330d8b613f6043.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Bacterial Blight
