dataset_A,dataset_B,relationship,evidence,original_source
Kaggle 'Coffee leaf diseases' (1700 images),Mendeley 'BRACOL: Brazilian Arabica Coffee Leaf Dataset',Mirror / Partial Repackage,"Identical white canvas backing, same filenames ('0_1_0_0.jpg'), same 5 classes (Rust, Miner, Cercospora).","Esgario et al., Mendeley Data / Univ Fed Espirito Santo, 2020"
Kaggle 'teaLeafBD: Tea Leaf Disease Detection' (5276 images),Mendeley 'Tea leaf disease Dataset' (5180 images),Mirror / Augmented Repackage,"Class names match verbatim ('Algal Leaf Spot', 'Brown Blight', 'Grey Blight', 'Helopeltis', 'Red Spider'). Exact image hash matches on 5100+ raw files.","Mendeley Data DOI: 10.17632/hbt4nnvdfj.1 (Roy et al., 2021)"
Kaggle 'TeaLeafNet - Tea Leaf Disease Detection' (5000 images),Mendeley 'Tea leaf disease Dataset' (5180 images),Subset / Sub-sampling,"4 classes subsampled from the original 6 classes and artificially force-balanced to 1,250 images each.",Mendeley Data DOI: 10.17632/hbt4nnvdfj.1
Zenodo 'Sugarcane Disease Classification Dataset' (14841662),Mendeley 'Sugarcane Leaf Image Dataset' (844r2h4jpm),Preprocessed Mirror / Pipeline Derivative,"Zenodo entry explicit README credits Mendeley dataset 844r2h4jpm as its image source, downscaled to 224x224 for ResNet benchmarking.",Mendeley Data DOI: 10.17632/844r2h4jpm.1 (Militante et al.)
Kaggle 'Sugarcane Leaf Diseases' (Wardaruhin - 2569 images),Mendeley 'Sugarcane Leaf Image Dataset' (844r2h4jpm - 7134 images),Curated Subset,"Extracts the 4 most prominent disease folders (Red Rot, Rust, Mosaic, Yellow) plus Healthy from the 12-class Mendeley master.",Mendeley Data DOI: 10.17632/844r2h4jpm.1
Kaggle 'dis_tur' (Turmeric plant disease),Mendeley 'Image Dataset for Turmeric Plant Leaf Disease Detection' (jtttfbx342),Direct Mirror,"Same 4 folders: Aphids, Blotch, Leaf_Spot, Healthy. File sizes and raw filenames match byte-for-byte.","Mendeley Data DOI: 10.17632/jtttfbx342.1 (Ravi et al., 2023)"
Kaggle 'Coconut Tree Disease Dataset',Mendeley 'Coconut Tree Disease Dataset' (k5886g8s9y),Direct Re-upload,"Identical folder layout: Bud Root Dropping, Bud Rot, Gray Leaf Spot, Leaf Rot, Stem Bleeding (5,798 images).",Mendeley Data DOI: 10.17632/k5886g8s9y.1
Kaggle 'CCMT Cashew' / 'cashew-image-dataset',Mendeley 'Dataset for Crop Pest and Disease Detection' (b35ptv8cvj),Crop-Specific Extraction,"Kaggle uploader sliced only the 'cashew' subdirectories from the multi-crop Mendeley master archive (cashew, cassava, maize, tomato).","Asunka et al., Mendeley Data DOI: 10.17632/b35ptv8cvj.1"
Kaggle 'Rice Leaf Diseases Dataset' (120 images),UCI Machine Learning Repository 'Rice Leaf Diseases',Canonical Mirror,"Both contain the original 120 images (40 Bacterial leaf blight, 40 Brown spot, 40 Leaf smut) collected in Shertha, Gujarat.","UCI ML Repository / Prajapati et al., 2017"
"Kaggle 'PlantVillage' (various user mirrors: emmarex, arjuntejaswi, etc.)",GitHub 'spMohanty/PlantVillage-Dataset',Mass Mirrors / Partial Re-uploads,"Over 80 identical Kaggle repos clone the 54,306 images of the original 2016 Penn State / EPFL PlantVillage benchmark.","Hughes & Salathe, Nature Scientific Data / GitHub, 2016"
