dataset_id,dataset_name,crop,source,source_url,download_date,license,original_archive,archive_size_bytes,sha256,extracted,image_count,status,notes
DS_SUGAR_02,Sugarcane Disease Dataset (Roboflow/GitHub),Sugarcane,GitHub (sabidarrow/Sugarcane-Disease-Dataset),https://github.com/sabidarrow/Sugarcane-Disease-Dataset,2026-09-11,CC BY 4.0,sugarcane_archive.zip,15650601,df5427598dc8aef4703fc80d950383ab7f8041b079f72a4cd3513ac9dc44fa1a,True,300,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_RICE_02,Rice Leaf Diseases Dataset,Paddy_Rice,GitHub (AveyBD/rice-leaf-diseases-detection),https://github.com/AveyBD/rice-leaf-diseases-detection,2026-09-11,CC BY 4.0,rice_leaf_archive.zip,8655204,49a6d02e47d3ab9cef4ead6609ae1917528c31cfc663d165aa262a62ff6f93f1,True,241,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_COTTON_03,Cotton Leaf Disease Detection Dataset,Cotton,GitHub (DARK-art108/Cotton-Leaf-Disease-Detection),https://github.com/DARK-art108/Cotton-Leaf-Disease-Detection,2026-09-11,CC BY 4.0,cotton_archive.zip,10026656,67393ff3d330b6b16cb47009a1f8f02e4f3145aa5b83dc550534731924054d9c,True,24,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_COFFEE_04,Coffee Leaf Disease & Pest Recognition,Coffee,GitHub (Lucs1590/Coffee_Recognize),https://github.com/Lucs1590/Coffee_Recognize,2026-09-11,CC BY 4.0,coffee_archive.zip,4366658,3ea1a2d483097a0c2815de5e8188a56400ee2fdabe48b2da0f12a43517349da7,True,72,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_TEA_03,Tea Leaf Disease Image Collection,Tea,GitHub (jenishborah/Tea-Leaf-Disease-Detection),https://github.com/jenishborah/Tea-Leaf-Disease-Detection,2026-09-11,CC BY 4.0,tea_archive.zip,4474146,a047939f47adebbcbc93d1ec525ab75128a5da59b62278f9aa36724fb89661a8,True,8,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_CHILLI_03,Chilli Leaf Disease Classification Dataset,Red_Chilli,GitHub (baggie11/Chilli-Leaf-Disease-Classification),https://github.com/baggie11/Chilli-Leaf-Disease-Classification,2026-09-11,CC BY 4.0,chilli_archive.zip,651455,a5ff2b80003816816ebaee14118e8dfa1dd175d0197bc85d34ff512e7e9a69ef,True,0,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_TOMATO_03,Tomato Leaf Disease Benchmark Collection,Tomato,GitHub (Animesh1911/Tomato-Leaf-Disease-Detection),https://github.com/Animesh1911/Tomato-Leaf-Disease-Detection,2026-09-11,CC BY 4.0,tomato_archive.zip,203916,86b2e4171815a92d2da8bf2031a5579f78fd4536bd6e445ce52044c4847b6db3,True,8,DOWNLOADED,Successfully downloaded and extracted into raw/
DS_COFFEE_01,RoCoLe: Robusta Coffee Leaf Images Dataset,Coffee,Mendeley Data (Parraga-Alava et al.),https://data.mendeley.com/datasets/chsy5kv84n/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Direct automated download blocked (HTTP 403 Cloudflare protection; requires manual browser session download)
DS_COFFEE_02,BRACOL: Brazilian Arabica Coffee Leaf Images,Coffee,Mendeley Data / GitHub,https://data.mendeley.com/datasets/yy2vn5mpnn/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare barrier; repository moved/private on GitHub; requires manual browser download
DS_TEA_01,Mendeley Tea Leaf Disease Dataset (5.1K),Tea,Mendeley Data (Roy et al.),https://data.mendeley.com/datasets/hbt4nnvdfj/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Direct API blocked (HTTP 403 Cloudflare bot challenge; requires manual export)
DS_RUBBER_01,BDRubberLeaf: Rubber Tree Leaf Diseases Dataset,Rubber,Mendeley Data (Hossain et al.),https://data.mendeley.com/datasets/s9r4f3x9d6/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare barrier; requires manual browser download
DS_SUGAR_01,Mendeley Sugarcane Leaf Image Dataset (7.1K),Sugarcane,Mendeley Data,https://data.mendeley.com/datasets/844r2h4jpm/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare challenge; large archive (2.8GB) requires manual browser retrieval
DS_COTTON_01,SAR-CLD-2024 Cotton Leaf Disease Dataset,Cotton,Mendeley Data,https://data.mendeley.com/datasets/pd66v5v4p8/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare challenge; requires manual browser download
DS_COTTON_02,Cotton Plant Disease Dataset (Janmejay Bhoi),Cotton,Kaggle,https://www.kaggle.com/datasets/janmejaybhoi/cotton-disease-dataset,2026-09-11,CC0: Public Domain,N/A,0,N/A,False,0,FAILED,Kaggle authentication required (~/.kaggle/kaggle.json token not configured)
DS_TOBACCO_01,MCAD-DETR Tobacco Leaf Disease Dataset,Tobacco,GitHub / Zenodo,https://github.com/AiJared/MCAD-DETR,2026-09-11,MIT / CC BY 4.0,N/A,0,N/A,False,0,FAILED,Zenodo API access requires personal token (HTTP 403 on unauthenticated files endpoint)
DS_PEPPER_01,Black Pepper Leaf Blight and Yellow Mottle Virus,Black_Pepper,Kaggle,https://www.kaggle.com/datasets/vigneshk/black-pepper-leaf-blight,2026-09-11,CC BY-SA 4.0,N/A,0,N/A,False,0,FAILED,Kaggle authentication required; requires manual download
DS_CARDAMOM_01,KCID: Kerala Cardamom Intelligence Dataset,Cardamom,Kaggle,https://www.kaggle.com/datasets/cardamom-ai/kerala-cardamom-dataset,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Kaggle authentication required; requires manual download
DS_CHILLI_01,Chilli Leaf Disease Image Dataset (8.8K),Red_Chilli,Mendeley Data,https://data.mendeley.com/datasets/jh9258y7g3/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare challenge; large dataset (3.1GB) requires manual browser retrieval
DS_TURMERIC_01,Image Dataset for Turmeric Plant Leaf Disease,Turmeric,Mendeley Data (Ravi et al.),https://data.mendeley.com/datasets/jtttfbx342/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare challenge; requires manual browser retrieval
DS_COCONUT_01,Mendeley Coconut Tree Disease Dataset (5.8K),Coconut,Mendeley Data,https://data.mendeley.com/datasets/k5886g8s9y/1,2026-09-11,CC BY 4.0,N/A,0,N/A,False,0,FAILED,Mendeley 403 Cloudflare challenge; requires manual browser download
