image_path_a,image_path_b,dataset_a,dataset_b,crop,duplicate_type,similarity,keep_source,action
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_044.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_082.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_046.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_084.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_047.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_085.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_048.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_086.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_049.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_087.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_050.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_088.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_052.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_090.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_054.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_091.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_055.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_092.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_056.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\05_Core_Grains_Vegetables\Paddy_Rice\raw\DS_RICE_02\rice\train\bacterial_leaf_blight\blight_rotated_095.jpg,DS_RICE_02,DS_RICE_02,Paddy_Rice,EXACT_DUPLICATE,1.000,DS_RICE_02,EXCLUDE_COPY_B
