dataset_id,crop,class,file_path,width,height,format,file_size,readable,blur_score_if_available,brightness_score_if_available,quality_flag,reason
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-20-_JPG.rf.ec961aead5c6b9fac8432c12840a928e.jpg,640,640,JPEG,39372,True,579.96,101.58,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-21-_JPG.rf.c49703dd00ba61f81dc74e7e7786dcd1.jpg,640,640,JPEG,37128,True,429.92,98.31,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-22-_JPG.rf.f1f578b3884294e23fd0c2dec14c7d6d.jpg,640,640,JPEG,64857,True,3076.13,96.98,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-23-_JPG.rf.516ced4394a1f1742cd77fb20e8885aa.jpg,640,640,JPEG,52011,True,1913.25,107.28,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-24-_JPG.rf.d6f783f7cb13fc3c27105577933bc024.jpg,640,640,JPEG,52065,True,2207.3,101.5,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-30-_JPG.rf.2b25904a11c1df1a0ad20408f10d872b.jpg,640,640,JPEG,54096,True,1672.7,107.79,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-33-_JPG.rf.05f18c9c3a5938133b1594cd5079c758.jpg,640,640,JPEG,57944,True,1404.34,126.43,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-39-_JPG.rf.6553b1a168b4872b53295f8274d6311b.jpg,640,640,JPEG,52670,True,1543.65,107.08,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-49-_JPG.rf.7452d8698340bea773fad0f72263b9a1.jpg,640,640,JPEG,45894,True,1294.44,99.06,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Bacterial Blight,test\images\S_BLB-70-_JPG.rf.5cfabb80842935dd39330d8b613f6043.jpg,640,640,JPEG,53348,True,1908.68,113.63,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-1-_jpg.rf.d9010f699490fd0b0e37fc050d99d9fd.jpg,640,640,JPEG,46744,True,1132.13,136.3,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-15-_jpg.rf.9fb3c8e45de5f6afc1831c9db567e3c8.jpg,640,640,JPEG,40607,True,951.6,139.53,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-20-_jpg.rf.3818cf438f106d137b3e68d53cf3f988.jpg,640,640,JPEG,57014,True,1567.02,136.7,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-21-_jpg.rf.e3a88202e82aeb81e27ea853db2980b9.jpg,640,640,JPEG,54924,True,1364.12,136.04,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-41-_jpg.rf.cb0045747a4692b2179e34dac9f39440.jpg,640,640,JPEG,49321,True,951.41,134.68,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-46-_jpg.rf.6e42a11afc35684f64c0091d10713950.jpg,640,640,JPEG,91901,True,1599.37,139.75,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-47-_jpg.rf.b03d8a183adb0867be3919b2bb4881ad.jpg,640,640,JPEG,40547,True,482.67,137.63,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-51-_JPG.rf.d2470fc1d879fdd5c7fb8e03bad74ab1.jpg,640,640,JPEG,49151,True,1269.11,141.94,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-53-_JPG.rf.a42a37f1186bc9c0f6978c4f0c62ad12.jpg,640,640,JPEG,33532,True,354.72,136.74,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-56-_JPG.rf.abddec778da171e43b918257e5240470.jpg,640,640,JPEG,40105,True,584.34,95.51,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-57-_JPG.rf.69874c3c29a72f9ac7cd7bc105bc8841.jpg,640,640,JPEG,44694,True,1146.28,81.82,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-58-_JPG.rf.e3c192c1506d12e18c05a13f2fca3397.jpg,640,640,JPEG,57187,True,2451.08,105.66,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-59-_JPG.rf.ea0629cb752b029c2dacf1ae7a5bc7ab.jpg,640,640,JPEG,40287,True,467.48,141.48,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-62-_JPG.rf.cc8dccf2f20a6e83c68936b9bc8b60f8.jpg,640,640,JPEG,36490,True,243.34,99.37,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-70-_JPG.rf.ed4f06aec051a9cd2e7db43f003c2b21.jpg,640,640,JPEG,47344,True,1089.27,122.63,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-71-_JPG.rf.ffd3276ac3d7c3344ec72adc44d273cc.jpg,640,640,JPEG,57792,True,1894.14,116.81,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-73-_JPG.rf.690cfb2d0dd7256687c68ec3c3d0448c.jpg,640,640,JPEG,55572,True,2200.55,149.44,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-74-_JPG.rf.ead72d5409a22076e06fc1b832236f78.jpg,640,640,JPEG,51451,True,1660.77,150.08,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-76-_JPG.rf.30f1495ca1c4f116e00e82a7969c77b0.jpg,640,640,JPEG,40410,True,866.28,153.53,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-77-_JPG.rf.80c0f4bb7feefa7f5cab7504872f9a37.jpg,640,640,JPEG,51216,True,1498.21,146.44,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-80-_JPG.rf.317a7711a02a3f3b4207114e6ba65e8f.jpg,640,640,JPEG,33328,True,407.58,184.33,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-82-_JPG.rf.4f4dcda30c1a05ef21c54c1da15004a4.jpg,640,640,JPEG,44308,True,1531.56,171.12,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-83-_JPG.rf.7685b68e1dd6576df2e86a9c00ce8951.jpg,640,640,JPEG,33599,True,551.08,165.62,CLEAN,Passes technical checks
DS_SUGAR_02,Sugarcane,Healthy,test\images\S_H-91-_JPG.rf.0c3d93d4d8598178423c570f44c4a261.jpg,640,640,JPEG,49897,True,1167.31,172.52,CLEAN,Passes technical checks
