crop,split,class_name,image_count,percentage
Cotton,train,bacterial_blight,358,20.95%
Cotton,train,curl_virus,333,19.49%
Cotton,train,fussarium_wilt,335,19.60%
Cotton,train,healthy,340,19.89%
Cotton,valid,bacterial_blight,44,2.57%
Cotton,valid,curl_virus,41,2.40%
Cotton,valid,fussarium_wilt,41,2.40%
Cotton,valid,healthy,42,2.46%
Cotton,test,bacterial_blight,46,2.69%
Cotton,test,curl_virus,43,2.52%
Cotton,test,fussarium_wilt,43,2.52%
Cotton,test,healthy,43,2.52%
Coconut,train,Bud_Root_Dropping,362,6.31%
Coconut,train,Bud_Rot,278,4.85%
Coconut,train,Gray_Leaf_Spot,1473,25.68%
Coconut,train,Leaf_Rot,1149,20.03%
Coconut,train,Stem_Bleeding,671,11.70%
Coconut,valid,Bud_Root_Dropping,75,1.31%
Coconut,valid,Bud_Rot,120,2.09%
Coconut,valid,Gray_Leaf_Spot,315,5.49%
Coconut,valid,Leaf_Rot,247,4.31%
Coconut,valid,Stem_Bleeding,182,3.17%
Coconut,test,Bud_Root_Dropping,77,1.34%
Coconut,test,Bud_Rot,72,1.26%
Coconut,test,Gray_Leaf_Spot,315,5.49%
Coconut,test,Leaf_Rot,246,4.29%
Coconut,test,Stem_Bleeding,153,2.67%
