crop,dataset,raw_images,usable_images,disease_classes,healthy_classes,train_images,validation_images,test_images,license,status
paddy,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
maize,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
ragi,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sorghum,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
pearl_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
foxtail_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
little_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
kodo_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
barnyard_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
proso_millet,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
wheat,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
red_gram,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
black_gram,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
green_gram,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
bengal_gram,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cowpea,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
field_bean,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
groundnut,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sesame,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sunflower,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
castor,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
safflower,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
soybean,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cotton,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sugarcane,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
tobacco,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
tomato,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
chilli,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
brinjal,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
onion,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
okra,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
potato,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
tapioca,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sweet_potato,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
drumstick,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cucumber,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
pumpkin,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
bitter_gourd,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
bottle_gourd,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
ridge_gourd,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
beans,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cabbage,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cauliflower,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
carrot,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
beetroot,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
banana,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
mango,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
papaya,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
pomegranate,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
guava,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
sapota,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
pineapple,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
grapes,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
jackfruit,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
watermelon,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
muskmelon,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
acid_lime,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
coconut,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
arecanut,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cashew,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
coffee,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
tea,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
rubber,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cocoa,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
oil_palm,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
palmyrah,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
black_pepper,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cardamom,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
turmeric,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
ginger,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
clove,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
coriander,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
cumin,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
fenugreek,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
betel_vine,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
tamarind,NONE_CONFIGURED,0,0,0,0,0,0,0,N/A,NO_VERIFIED_DATA
