crop,split,class,filename,size_bytes,width,height,mode,is_valid,sha256,dhash
Cotton,train,bacterial_blight,bact134.png,696432,486,486,RGBA,True,e10cb3bd487bd3591555546b369fe25b0ed3df8ed1b4d75bd6df20f9ee995da5,b43573da3f3c9f27
Cotton,train,bacterial_blight,bact138.png,546228,486,486,RGB,True,82ba2aa5bb0cb3f25cc48204f7297cfa07fe3c536954f518fbe85ec635d087bf,064c3cc06919e6ae
Cotton,train,bacterial_blight,bact355.jpg,55118,600,336,RGB,True,f4c7a3c30f487dd83dfc6bb83acdbd5b6899d61b03c908ce95ed7a5071fab080,6f263973636d1e96
Cotton,train,bacterial_blight,bact263.jpg,6990,249,203,RGB,True,2d058cf0aff2cfe7790fa22be9c00c92c7e6c1661d212303a230a223e0e849ed,171a6ac849861248
Cotton,train,bacterial_blight,bact342.jpg,20388,300,225,RGB,True,f11bd48065e005712a53ed09dbd9d0d4bad55244f0856a970ae37eaa9719bc84,070302331b86868e
Cotton,train,bacterial_blight,bact399.png,289266,292,390,RGBA,True,c63a495cc5120e2ea1dd2be339a9aa530ef2ae4bccf3719af793a389427d1427,161012422c3e1e1f
Cotton,train,bacterial_blight,bact254.png,27557,250,380,RGB,True,b2896c96f34b50449faa4ab9dee9dd515feb45aeb5a9d5e0c81e9588e73fa791,9c96d3f16a68e8e4
Cotton,train,bacterial_blight,bact10.jpg,46904,720,540,RGB,True,6342830cebc4c2edeffadeff5bf858dc64d1375000ab8381a2444b6696feb58b,e4dc11311113b221
Cotton,train,bacterial_blight,bact20.jpg,51872,720,540,RGB,True,95c1e851865b235a2aeb53e45d09d47312938e183270e3eab0194b4e341bf008,313332963339d9e4
Cotton,train,bacterial_blight,bact21.jpg,46494,540,720,RGB,True,f862b0ed4fe19e73c45e0c793304bac98725a391edea95a7d715967761a7fd23,b1b1773191f3f178
Cotton,train,bacterial_blight,bact231.jpg,242335,768,1024,RGB,True,8155f8a989d620b1b805161f6b05badd45a1d0dd726f416ec9f7697d426f08ed,ef8c0c084ecf170e
Cotton,train,bacterial_blight,bact73.jpg,29721,225,300,RGB,True,1a831ea8abe7108b5914e4ec9e401fb9e9d2b001879a05c2cb49b365ee468789,1d840abbb8b199ec
Cotton,train,bacterial_blight,bact258.png,37204,250,380,RGB,True,050e0c2101f3d9403c65278df68b0497cbfe8f5236873d4f57bc75734ec1c746,4e6c6964615436b6
Cotton,train,bacterial_blight,bact270.jpg,10430,203,249,RGB,True,09b1a70a1d81e7562744c379389f50845c21a7dadc1ef52297ba0d1427875a6e,08030e0f2f1f1785
Cotton,train,bacterial_blight,bact32.jpg,35245,720,540,RGB,True,5b650ebdc6829eb76fd80c817ea62315fa70c57b5e7a3d5f4de66c98d976ea9f,6333313133d0c49c
