crop,sha256,splits,files
Cotton,56ab970bc0e0c5be5eed630da5d0cf28f70bda8c0fa5dd897e0d60ef4a6a2423,train|test,F:\SIH_DATASET\processed\cotton\train\bacterial_blight\P1010086jpg - Copy.jpg|F:\SIH_DATASET\processed\cotton\test\bacterial_blight\P1010086jpg.jpg
Cotton,6f6301b66ee0f388349eb5790cdc162d97036e8dd466d40c04a4d9c601cca895,train|valid,F:\SIH_DATASET\processed\cotton\train\bacterial_blight\bact395.png|F:\SIH_DATASET\processed\cotton\valid\bacterial_blight\bact396.png
Cotton,9dd9334a8e3486c8e10f593a86993f76cd000045f54a495900b5711d7a74bc74,train|test|valid,F:\SIH_DATASET\processed\cotton\train\bacterial_blight\bb.jpg|F:\SIH_DATASET\processed\cotton\valid\bacterial_blight\bact439.jpg|F:\SIH_DATASET\processed\cotton\test\bacterial_blight\bb - Copy.jpg
Cotton,b56d57c0df2c254c9ed03d95d39a2a0956830a662e4431fa6b4caa6e3c9bb2bc,train|test,F:\SIH_DATASET\processed\cotton\train\bacterial_blight\bact188.png|F:\SIH_DATASET\processed\cotton\test\bacterial_blight\bact257.png
Cotton,45a50fc674916c37b8fbeb9da3c085c124e2d5dd03e398489bd425f71d29c075,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl301.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl381.jpg
Cotton,87aa01c6d066a6759f3cab61524907eb953a757aac1738a9969f9e4be3b9b66b,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl157.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl216.jpg
Cotton,473b613d4103cfa21661a499c858bf51b03a795e0f613746b935c21822268099,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl0.jpg|F:\SIH_DATASET\processed\cotton\train\curl_virus\curl45 - Copy.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl45.jpg
Cotton,e579273bc54da8184f14dd9e95e9487bbf43d521f500793f79e3c709205a4ca7,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl43.png|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl50.png
Cotton,904c78e9ed2d38a9b2bd11fa94b4347ccbdc1b57e01a93ed7609284f3ca3d527,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl155.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl214.jpg
Cotton,cd092029e5b8153f977f85e2b2a444fc69c7e1b235c5ee7cd485cb3a5bf201d0,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl380.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl300.jpg
